uid, cid
19,GENE123
21,GENE21A
52,GENE21I
136,GENE21Q
85,GENE22A
173,GENE22A
104,GENE22D
118,GENE315
183,GENE315
111,GENE415
160,GENE501
18,GEOE353
199,GEOG187
38,GEOG209
133,GEOG233
167,GEOG306
119,GEOG336
121,GEOG371
116,GEOG381
175,GEOG407
118,GEOG409
178,GEOG423
88,GEOG453
34,GEOG457
146,GEOG457
3,GEOG475
87,GEOG476
143,GEOG476
66,GER101
85,GER200
64,GER201
143,GER202
171,GER211
199,GER230
68,GER261
68,GER272
168,GER272
114,GER283
136,GER298
30,GER307
86,GER359
192,GER396
40,GERON310
165,GRK201
89,GRK421
129,GRK421
132,GRK491
149,GSJ101
125,GSJ208L
94,GSJ232
142,GSJ320
99,GSJ331
129,GSJ408
190,HEALTH105
164,HEALTH107
192,HEALTH150
141,HEALTH490
167,HEALTH490
41,HHUM218
2,HHUM241
64,HHUM307
14,HHUM373
73,HHUM391
55,HIST200
141,HIST209
74,HIST221
32,HIST224
65,HIST224
192,HIST232
123,HIST238
125,HIST247
36,HIST250
64,HIST250
79,HIST252
144,HIST271
129,HIST274
26,HIST277
161,HIST277
18,HIST309
177,HIST314
3,HIST317
71,HIST327
52,HIST329
17,HIST350
19,HIST350
195,HIST357
115,HIST359
19,HIST368
125,HIST389
158,HIST391
32,HIST422
42,HLTH102
137,HLTH205
195,HLTH217
151,HLTH253
140,HLTH290
144,HLTH304
124,HLTH333
67,HLTH340
88,HLTH344
176,HLTH430
6,HLTH432B
94,HLTH443
102,HLTH449
16,HLTH450
53,HLTH454
24,HLTH461
119,HLTH461
28,HLTH475
195,HRM301
117,HUMSC101
133,HUMSC490
153,INDENT200
92,INDENT210
178,INDENT320
103,INDEV200
50,INDEV212
54,INDEV375
83,INDEV474
21,INDEV478
58,INDEV478
86,INDG228
53,INDG305
63,INNOV200
90,INNOV201
156,INTEG210
122,INTEG375
135,INTEG441
3,INTEG499
57,ITAL201
197,ITAL201
2,ITALST111
27,ITALST120
116,ITALST120
182,ITALST296
109,ITALST311
191,ITALST394
32,JAPAN101R
81,JAPAN101R
41,JAPAN111R
26,JS203
44,JS203
36,JS233
188,JS236
180,JS350
199,JS364
55,KIN202
196,KIN204
199,KIN221L
54,KIN340
70,KIN351
162,KIN397
185,KIN400
83,KIN407
104,KIN414
167,KIN431
191,KIN432
114,KOREA101R
90,LAT102
39,LAT491
23,LS201
44,LS213
84,LS271
21,LS291
54,LS315
6,LS426
89,LS426
27,MATBUS471
48,MATH106
147,MATH106
21,MATH118
160,MATH211
73,MATH217
35,MATH227
72,MATH52
169,MATH52
27,ME101
177,ME212
126,ME219
40,ME250
176,ME250
158,ME360
73,ME380
13,ME400A
149,ME400A
156,ME400B
97,ME526
96,ME561
172,ME571
131,ME596
11,ME598
126,MEDVL205
52,MEDVL230
48,MEDVL251R
17,MEDVL252
54,MEDVL304
182,MEDVL305
181,MEDVL330
137,MEDVL492
110,MENN125
47,MNS10
161,MNS101
48,MNS211
68,MSE131
65,MSE200B
9,MSE211
174,MSE245
171,MSE251
77,MSE300A
21,MSE300B
123,MSE302
70,MSE411
108,MSE422
121,MSE431
176,MSE433
19,MSE491
45,MSE541
164,MSE543
113,MSE546
163,MSE555
12,MSE597
179,MSE597
43,MTE111
71,MTE120
161,MTE140
80,MTE201
178,MTE203
16,MTE321
131,MTE325
109,MTE360
198,MTE360
3,MTE481
118,MTE482
199,MTHEL206
59,MTHEL498
58,MUSIC217
122,MUSIC261
65,MUSIC262
186,MUSIC275
57,MUSIC326
72,MUSIC326
159,MUSIC335
44,MUSIC361
18,MUSIC362
189,MUSIC363
120,MUSIC380
37,NE110
26,NE112
94,NE113
107,NE113
8,NE140
93,NE217
156,NE241
186,NE334
46,NE380L
129,NE452
106,NE453
190,NE455D
169,NE459
83,NE471
152,NE476
188,NE488
20,OPTOM152
29,OPTOM170
58,OPTOM255
190,OPTOM348A
193,OPTOM412
75,OPTOM441
80,OPTOM478
16,PACS101
42,PACS202
81,PACS320
16,PACS321
97,PACS324
161,PACS327
197,PACS331
88,PACS398
139,PD3
199,PD8
74,PDPHRM2
24,PHARM120
36,PHARM120
132,PHARM228
31,PHARM229
135,PHARM320
105,PHARM375
137,PHARM375
93,PHARM377
52,PHARM401
117,PHARM440
179,PHARM460
63,PHARM464
134,PHARM474
136,PHARM474
141,PHARM474
146,PHIL211J
52,PHIL219J
9,PHIL227
111,PHIL227
99,PHIL230J
167,PHIL251
141,PHIL259
7,PHIL260
82,PHIL291
65,PHIL324
166,PHIL386
58,PHIL405
92,PHIL420
102,PHIL422
156,PHIL422
94,PHIL447
45,PHIL450J
61,PHIL452
117,PHYS122L
51,PHYS234
91,PHYS260A
197,PHYS349
152,PHYS359
14,PHYS370L
143,PHYS383
135,PHYS394
44,PHYS442
56,PHYS442
19,PHYS449
120,PHYS476
161,PHYS483
181,PHYS483
170,PLAN103
121,PLAN202
24,PLAN203
100,PLAN211
43,PLAN233
7,PLAN262
137,PLAN348
7,PLAN408
85,PLAN408
191,PLAN415
133,PLAN418
167,PLAN440
111,PLAN445
175,PLAN445
191,PLAN478
4,PMATH331
86,PMATH331
14,PMATH347
159,PMATH370
191,PMATH433
10,PMATH440
184,PMATH446
55,PMATH451
76,PMATH451
104,PMATH453
65,PORT102
152,PSCI228
72,PSCI250
60,PSCI254
18,PSCI260
129,PSCI264
22,PSCI300
171,PSCI301
62,PSCI315
185,PSCI351
190,PSCI351
35,PSCI367
77,PSCI369
88,PSCI385
18,PSCI387
173,PSCI391
159,PSCI403
63,PSCI428
31,PSCI456
6,PSCI460
135,PSCI470
36,PSCI487
191,PSCI487
128,PSYCH257
40,PSYCH310
195,PSYCH312
5,PSYCH312R
190,PSYCH312R
123,PSYCH318
84,PSYCH336
176,PSYCH394
117,PSYCH396
53,PSYCH397
129,PSYCH399
2,PSYCH420
151,PSYCH439
6,PSYCH453
68,PSYCH454
120,PSYCH457
155,PSYCH466
194,PSYCH466
181,PSYCH483
194,PSYCH486
8,PSYCH487
74,PSYCH493
144,REC100
93,REC202
181,REC202
4,REC213
94,REC218
76,REC312
91,REC313
136,REC351
96,REC356
49,REC361
83,REC373
32,REC401
42,REC401
143,REC450
17,REES261
116,REES262
42,REES364
156,RS100
145,RS123
128,RS210
72,RS221
173,RS234
13,RS242R
178,RS242R
194,RS250
128,RS253
100,RS259
137,RS335
138,RS335
125,RS342
193,RS391
53,RS395
46,RS450
37,RS498
28,RUSS101
188,RUSS102
8,SCBUS223
45,SCBUS225
184,SCBUS225
159,SCBUS323
22,SCBUS423
53,SCI207
84,SCI266
45,SCI267
37,SDS131R
133,SDS288R
45,SDS312R
15,SDS322R
45,SDS323R
131,SDS323R
70,SDS326R
158,SDS345R
13,SDS353R
162,SDS354R
17,SDS358R
55,SDS388R
37,SDS398R
96,SDS405R
2,SDS440R
92,SDS440R
185,SDS445R
19,SDS490R
143,SDS499B
115,SE101
24,SE201
123,SE212
53,SE380
18,SE464
70,SFM310
72,SI121R
35,SI232R
163,SI240R
35,SI390R
188,SMF204
47,SMF212
188,SMF212
175,SMF218
193,SMF220
113,SMF308
77,SMF400
108,SMF490
43,SMF494
73,SOC202
29,SOC229
129,SOC241
136,SOC248
60,SOC252
158,SOC262
8,SOC305
131,SOC330
148,SOC409
24,SOC424
116,SOC428
178,SOC431
189,SOC451
104,SOC452
28,SOC462
155,SOCWK120R
15,SOCWK356R
1,SOCWK357R
175,SOCWK357R
41,SOCWK490R
8,SPAN201B
86,SPAN201B
68,SPAN301A
178,STAT322
33,STAT331
174,STAT431
190,STAT441
106,STAT466
44,STAT469
94,STV205
133,STV302
98,STV305
175,STV401
27,SWREN220R
115,SWREN300R
77,SWREN301R
128,SWREN301R
120,SWREN423R
81,SWREN443R
139,SWREN471R
131,SYDE113
159,SYDE161
34,SYDE162
188,SYDE192L
39,SYDE261
45,SYDE286
43,SYDE292
160,SYDE352
19,SYDE352L
132,SYDE352L
33,SYDE381
164,SYDE411
91,SYDE535
27,SYDE537
90,SYDE548
200,SYDE548
136,SYDE572
150,SYDE599
54,THPERF112
106,THPERF221
29,THPERF243
75,THPERF243
81,THPERF246
157,THPERF306
173,THPERF316
132,THPERF361
124,THPERF374
160,THPERF380
199,THPERF406
154,THPERF417
186,THPERF440
25,VCULT101
63,VCULT101
32,VCULT200
