uid,cid
239, "SPAN446W"
4811, "ECE462"
3451, "HIST385"
4935, "CMW201"
2384, "REC405"
146, "BIOL361"
4816, "BIOL465"
1933, "LS306"
447, "GEOG219"
217, "SCI266"
634, "PSYCH320"
950, "HIST101"
4471, "ECON392"
3407, "LS328"
639, "AFM102"
4520, "GENE21C"
2108, "PSYCH484"
2677, "BME121"
2895, "COMMST308"
1681, "HIST397"
2730, "ECON488"
3184, "ACTSC291"
3333, "SDS353R"
838, "ENGL408A"
666, "MTE545"
1015, "AFM442"
2787, "EMLS103R"
2140, "SOC432"
1907, "BUS398W"
3651, "RS312"
1548, "BME581"
254, "SPAN201A"
520, "BME552"
1384, "VCULT112"
3040, "GBDA203"
2693, "CHEM392B"
4595, "ARCH212"
4125, "ENVE299"
4188, "HIST341"
3642, "GERON220"
4702, "EASIA100R"
4755, "SYDE311"
4175, "SDS435R"
2361, "CI300"
1897, "PSYCH461"
3459, "CO456"
4399, "BIOL309"
4846, "SE202"
4163, "CO351"
4373, "CS251E"
1566, "STV205"
11, "THPERF282"
1634, "ME300A"
967, "ENVE330"
3340, "ARCH428"
1523, "SFM401"
2408, "ECE444"
4187, "SYDE312"
3132, "HIST262"
2922, "PHIL447"
4688, "PHYS442"
2502, "PHYS160L"
3992, "SCI395"
4169, "OPTOM245"
2823, "ECE108"
4672, "HIST318"
1596, "ENGL461"
3590, "LS366"
4204, "MSE121"
578, "MTE482"
85, "PSYCH356R"
1528, "PSYCH389"
2564, "AVIA306"
2936, "MSE333"
3040, "ACTSC221"
1813, "CIVE105"
155, "LS365"
1699, "BME553"
3339, "EASIA377R"
3903, "PDARCH2"
545, "NE335"
82, "CS350"
1344, "ARCH493"
3155, "GSJ201"
488, "CI300"
4474, "PHIL380"
3046, "INDENT320"
4391, "HRM200"
3478, "STAT440"
4301, "REES272"
912, "KIN217"
92, "SPAN300"
31, "PHYS256L"
1503, "PSCI488"
3836, "SWREN301R"
4745, "MEDVL250R"
1720, "RS398"
3742, "MATH136"
4302, "KIN326"
12, "FR353"
2644, "PHIL416"
3300, "ENGL336"
3874, "FINE282"
2778, "HUMSC102"
2891, "ACTSC445"
3845, "GEOG476"
799, "MSE332"
3080, "CLAS261"
105, "BIOL241"
1374, "ENGL208G"
135, "INNOV411"
4718, "LS352"
246, "ECE206"
3660, "CHINA310R"
590, "PSYCH380"
560, "PLAN346"
4610, "SOC428"
2071, "STAT321"
3708, "RS315"
3984, "OPTOM152L"
2178, "KIN432"
3767, "STAT436"
2761, "ECON363"
2355, "SI121R"
3102, "SFM310"
1039, "PLAN476"
3487, "ANTH106"
520, "CROAT102"
2134, "GEOE398"
79, "ENGL460C"
1613, "CS449"
1305, "AMATH250"
471, "BIOL312"
3380, "MTE300A"
4878, "ECON256"
3837, "GRK202"
1933, "PHIL481"
2076, "BME564"
2854, "GENE21D"
4438, "BUS381W"
3698, "SDS260R"
1237, "SOC406"
4926, "PHYS474"
236, "FR424"
4477, "HLTH218"
3177, "LS206"
4846, "OPTOM348A"
4704, "PLAN475"
2325, "ENGL451A"
2319, "ME535"
1526, "PACS311"
4906, "CI329"
611, "CHE572"
1980, "CIVE353"
3041, "PHARM422"
3228, "PLAN205"
4776, "ME540"
4816, "GEOG459"
2354, "SMF499A"
837, "LS330"
1053, "STAT334"
3758, "PSCI228"
681, "ME203"
2366, "GSJ271"
4356, "SE499"
1762, "ENGL460B"
1238, "SCBUS425"
117, "CHE572"
4517, "MSE392"
517, "SDS496R"
1320, "KIN422"
528, "RS301"
1975, "ECON424"
295, "PMATH348"
1839, "ENGL191"
1901, "KIN425"
2274, "COMMST220"
2067, "MEDVL492"
25, "FINE363"
1568, "ECE423"
2421, "STV202"
837, "MUSIC426"
1957, "ENGL306G"
2047, "SYDE352"
326, "CHEM254"
3626, "SDS435R"
4563, "AFM428"
4891, "CHINA120R"
1100, "BME393"
327, "GBDA101"
4494, "OPTOM104"
3879, "CI255"
4282, "CLAS311"
3910, "PHYS393"
4330, "FINE319"
4392, "CHEM491A"
4302, "PLAN476"
4834, "RS291"
4377, "SWREN441R"
3430, "ANTH204"
4797, "DAC246"
4275, "PHARM401"
3829, "GENE21C"
2024, "ENGL305B"
2767, "CS492"
739, "KIN340"
2033, "PHYS370L"
4781, "MSE551"
3835, "HIST389"
2513, "ANTH365"
3766, "LS403"
444, "EARTH221"
2379, "BUS127W"
2455, "THPERF321"
4627, "SE301"
1647, "MUSIC491"
4388, "GSJ221"
1026, "PD10"
4404, "HLTH101"
4750, "FINE392"
205, "PSYCH459"
256, "MATH199"
4590, "PLAN102"
2907, "STAT316"
1266, "LS373"
524, "PHARM321"
3607, "ENGL200A"
4025, "COMMST410"
3862, "PLAN246"
4525, "PSCI452"
3393, "AE353"
2093, "BIOL350"
1281, "BIOL461"
2677, "BLKST310"
1866, "HIST237"
1949, "ENGL241R"
730, "CS492"
2498, "PHYS256"
4966, "FR343"
3028, "CIVE398"
130, "HIST191"
3609, "LS352"
499, "ERS337"
3529, "REC203"
3952, "PHYS234"
1912, "LS423"
2433, "GENE303"
170, "RS291"
2568, "PHIL120J"
3024, "COMM432"
330, "AMATH350"
4685, "GER385"
49, "BIOL240L"
1977, "HLTH341"
2445, "ECON261"
2749, "PSCI462"
3107, "EARTH342"
508, "HLTH400"
4741, "SYDE114"
2963, "EASIA291R"
4091, "BUS111W"
4777, "ENGL306A"
3080, "PMATH370"
7, "COMM321"
764, "PHIL205"
1937, "OPTOM477"
3029, "STAT341"
2466, "GRK202"
2498, "ECON306"
4630, "BIOL382"
2341, "CHE482"
3492, "GERON355"
1813, "PLAN478"
488, "SOC225"
3988, "PMATH336"
4915, "PD13"
686, "ENGL292"
434, "PACS333"
771, "ITALST291"
1029, "HIST260"
2573, "ME482"
1231, "PHIL118J"
3837, "SOC402"
1201, "FINE383"
425, "NE466"
2280, "CHE201"
1394, "COMMST420"
2111, "OPTOM377"
3807, "SMF350"
686, "KOREA301R"
4204, "LS365"
2622, "PSCI433"
1814, "ME571"
4453, "GEOE399"
2233, "ENGL350A"
1098, "CS482"
2040, "SFM402"
3519, "STV208"
2583, "MSE253"
4567, "ANTH202"
2458, "PSCI259"
3957, "ECON323"
4680, "GEOG475"
3176, "AFM362"
1296, "ENGL108P"
277, "SPAN490"
3283, "MSE531"
114, "KIN472"
4698, "ENGL308"
2919, "BLKST103"
4744, "GER230"
3066, "AFM322"
2626, "REES261"
4296, "MSE334"
1120, "PHIL226"
742, "CHEM310"
2034, "PSCI255"
1645, "ARABIC102R"
2705, "ENGL309G"
2488, "PHARM450"
2694, "LS201"
181, "MTE140"
4881, "ENVE277"
2067, "ANTH289"
4882, "PHARM155"
4264, "NE109"
4842, "ENGL408B"
443, "SDS440R"
4297, "SE202"
1603, "SMF499A"
1203, "KIN340"
4709, "CS430"
885, "SOC436"
2235, "OPTOM478"
1924, "INDEV308"
1443, "ERS340"
2347, "SYDE262"
1489, "GERON401A"
2613, "CO431"
3428, "INTEG221"
20, "BME202"
3606, "OPTOM126"
4773, "RS251"
4898, "MUSIC381"
1657, "RS236"
182, "NE113"
3029, "FINE342"
4928, "CHEM356"
3455, "MEDVL252"
395, "SMF250"
2950, "PSCI301"
930, "SYDE352"
607, "HIST303"
2152, "ENGL406"
2650, "CHE564"
2139, "CHE331"
3974, "ERS275"
3303, "CS447"
3605, "PLAN433"
3524, "BIOL442"
2947, "PLAN433"
3559, "GSJ211"
3374, "MTE546"
2615, "MSE422"
755, "ANTH202"
4265, "SOC229"
787, "SOC459"
1090, "BET210"
3487, "PHYS396"
675, "ECON484"
2105, "ME220"
3597, "CHE302"
857, "LS422"
3583, "SYDE302"
4124, "PLAN474"
1656, "AE280"
401, "SMF213"
2866, "BUS311W"
1933, "SDS354R"
1455, "SYDE201"
1650, "GSJ205"
4087, "NE281"
3756, "CS241E"
1512, "PHYS122L"
99, "BIOL483"
823, "RS250"
1938, "MUSIC364"
2282, "ME400B"
1449, "GENE101"
225, "SWREN331R"
156, "ITAL202"
2732, "PACS302"
1896, "EARTH460"
4343, "AE353"
3626, "EARTH355"
900, "ME200A"
4770, "HIST224"
553, "BIOL490D"
117, "SYDE301"
672, "CHE383"
2754, "AMATH451"
2715, "CS457"
2645, "ENGL335"
3160, "MATH118"
1221, "COMMST399"
3123, "NE454B"
1792, "PSYCH395"
4882, "BASE42"
4841, "CHINA302R"
4714, "BIOL335L"
3878, "ENGL460B"
240, "SE498"
4780, "SOC440"
414, "REES230"
1167, "FINE327"
1524, "EASIA291R"
2034, "FINE261"
2513, "HLTH410"
223, "SOC222"
792, "ENGL373"
3159, "PHARM120"
454, "ECON423"
3209, "PHYS391"
4047, "SFM311"
595, "ECE380"
850, "PSCI437"
1046, "RS224"
1482, "ME538"
1669, "ARCH429"
436, "CO227"
3064, "HLTH173"
3205, "REC357"
2440, "PSYCH461"
2171, "INTEG441"
1893, "GERON401A"
3645, "ENVS374"
1069, "MTE460"
4157, "ENGL201"
856, "RS240"
3129, "DAC278"
1699, "SDS440R"
820, "AVIA310"
1241, "ENGL392B"
2500, "CHE291"
4612, "COMMST490"
2741, "CLAS341"
530, "GENE21D"
4053, "SOC232"
596, "HIST372"
910, "ECE481"
3256, "CHEM333"
3622, "HLTH471"
1414, "GEOE153"
854, "COMMST491"
398, "PHYS375"
3763, "ENBUS375"
2058, "PHYS444"
3259, "APPLS205R"
2504, "HIST388"
1128, "ARCH110"
4178, "HLTH458"
4650, "PSYCH398"
4302, "GEOG411"
4456, "HIST210"
2169, "ENGL461"
1660, "JS237"
1099, "LS283"
1943, "RS223"
3808, "PSCI494"
3168, "NE100"
4704, "BIOL451"
937, "DAC202"
3250, "BME213"
3633, "SE401"
3980, "BLKST330"
3733, "MATH218"
2166, "MUSIC427"
4610, "JS215"
1569, "VCULT100"
122, "PLAN405"
54, "RS206"
3616, "BIOL361"
80, "HIST328"
338, "ENVS476B"
301, "ANTH290"
4471, "ME561"
4101, "BET420"
2373, "BIOL351"
4377, "HIST315"
538, "PLAN320"
958, "HIST351"
3414, "MTHEL498"
1534, "SDS375R"
2320, "FINE282"
1661, "ECON212"
3288, "ECE231"
1941, "RS123"
1668, "GEOG202"
184, "COMM421"
474, "MTE597"
2643, "SWREN472R"
550, "RS391"
858, "HUMSC102"
834, "SOC320"
1601, "SE350"
3844, "COMMST103"
4227, "ENGL327"
1304, "FINE474"
1078, "BME399"
3370, "PLAN443"
1118, "ECE484"
4216, "PHYS435"
3937, "PSYCH399R"
864, "SOC322"
3552, "FINE261"
961, "BET460"
1560, "KIN342"
1703, "BIOL383"
1706, "PHIL211J"
1114, "BIOL165"
3109, "PSCI387"
3694, "SFM309"
1093, "SI121R"
487, "AFM446"
3326, "COMMST204"
3730, "SMF494"
1310, "CIVE123"
1578, "HRTS101"
268, "HUMSC489"
4780, "ANTH330"
1037, "INTEG475A"
4890, "BIOL235"
592, "CHE180"
2655, "ENGL306A"
3262, "STAT467"
4326, "MUSIC290"
3740, "AFM373"
1563, "AE101"
4197, "HUMSC401"
1547, "PHARM400"
501, "ERS315"
4444, "COMMST329"
1880, "HLTH459"
4692, "PSYCH499A"
2827, "SDS353R"
3267, "AE123"
1770, "CHE521"
1093, "GEOG359"
1969, "HLTH430"
4613, "CS234"
4634, "ENGL305B"
4992, "LS402"
2855, "BME530"
112, "PSCI252"
2214, "ANTH289"
2325, "REC419"
279, "SYDE401"
2113, "PACS398"
589, "GSJ232"
1163, "ECON361"
1016, "BME182"
2438, "ENVS374"
3318, "COMMST300"
4946, "EASIA363R"
1168, "DAC402"
4295, "ECE307"
2179, "MSE211"
518, "CS349"
788, "ENVS205"
2459, "RS228"
4100, "SPAN430"
2853, "STAT450"
4033, "PLAN487"
2636, "FR355"
1088, "SPAN290"
1717, "ME354"
1154, "SE491"
4802, "PSCI494"
3787, "SOC383"
2192, "SYDE572"
4986, "SDS323R"
2055, "SOC263"
86, "PHYS115"
3951, "HHUM306"
322, "ACTSC372"
3702, "PSYCH483"
1931, "PSCI405"
561, "GEOE495"
2462, "SPAN395"
929, "SYDE536"
2791, "BET430"
3733, "OPTOM252L"
3970, "EARTH121"
3214, "HLTH260"
1553, "MSE245"
381, "HIST282"
3878, "LAT332"
1559, "HRTS398"
335, "CHEM237"
2782, "ENGL225"
4624, "AE125"
1920, "BASE36"
3211, "STAT450"
1178, "AFM121"
4023, "ERS275"
3053, "CHE450"
3289, "MTE220"
2786, "EASIA275R"
4991, "BET420"
2722, "FR276"
4101, "SOC213"
2093, "ENVE401"
117, "HIST268"
4212, "EARTH281"
2093, "SFM101"
4108, "ARCH446"
732, "FINE330"
2533, "PHIL220J"
4163, "PHIL259"
1694, "SOC320"
4941, "SE201"
2480, "SCI266"
325, "CHINA202R"
4972, "GBDA301"
924, "SOCWK120R"
4531, "SPAN446W"
4344, "ENGL492"
1335, "ENVE375"
4989, "BUS121W"
2078, "MSE100"
3878, "ECE224"
2706, "PHIL450J"
1098, "SOCWK365R"
1993, "MTE420"
4822, "JAPAN102R"
2851, "PHARM221"
1300, "HLTH284"
2991, "CHEM313L"
1152, "ENGL132R"
300, "FR296"
4614, "HIST235"
771, "ME561"
4479, "PHYS460B"
180, "REC425"
2898, "ANTH322"
965, "ERS101"
4720, "BIOL479"
638, "MUSIC335"
1408, "HIST101"
2288, "COMMST149"
337, "BIOL350"
2611, "CHEM310L"
3647, "ACTSC446"
2254, "STV304"
3313, "HLTH340"
1536, "PSYCH236"
2214, "PLAN281"
1615, "GENE23E"
1794, "HLTH421"
2606, "RS241"
2767, "THPERF499B"
1758, "NE380L"
2799, "ENGL280"
292, "ECON363"
1741, "FR252"
3898, "STV208"
940, "GEOG336"
101, "BIOL370"
3274, "CS383"
580, "CHE516"
4292, "PHYS474"
1373, "AFM377"
1567, "SFM311"
1218, "THPERF417"
3836, "EARTH322"
3923, "GEOE280"
3026, "SE101"
4977, "FINE291"
3660, "PACS336"
821, "CO255"
3795, "MSE401"
1636, "MUSIC255"
2674, "GBDA204"
1035, "BLKST380"
2760, "LS203"
3305, "LS201"
4071, "SOC369J"
291, "SOC490R"
817, "MUSIC226"
467, "CHEM212"
972, "SYDE522"
1327, "ME380"
1938, "FINE383"
4060, "GENE403"
466, "HIST302"
4045, "SPAN290"
2502, "REC272"
4811, "AFM272"
3659, "ECON436"
3037, "AFM323"
4274, "SOC385"
4903, "MEDVL491"
1632, "GERON355"
4980, "MSE300B"
1394, "CHE571"
1296, "CIVE100"
3703, "CLAS331"
346, "PACS398"
3994, "PSCI299"
1097, "BLKST103"
412, "PSCI391"
585, "AFM191"
2002, "RS201"
2030, "SOC440"
4513, "SYDE552"
2661, "INDG301"
1196, "ANTH320"
2861, "ME115"
3761, "PHIL252"
1178, "BIOL498B"
860, "ANTH371"
2628, "GEOE498"
1910, "ECE356"
3144, "FINE206"
4814, "AMATH499"
1177, "EASIA250R"
1720, "GRK201"
2306, "GEOG430C"
393, "HUMSC401"
3727, "PSCI359"
3993, "CLAS210"
4195, "HIST328"
2074, "GERON218"
2041, "NE455B"
4578, "CS335"
3766, "SOC232"
4119, "MATH115"
3591, "PLAN103"
2777, "MTE598"
1607, "SMF211"
178, "ENGL486"
1981, "DAC248"
3521, "HEALTH105"
3019, "ENGL470A"
1154, "PHYS461"
2512, "SOC349"
1377, "MEDVL304"
575, "CO459"
3445, "ENGL407"
2756, "PHARM368"
2832, "MSE334"
4587, "PSYCH339"
3912, "PHARM155"
331, "ERS361"
169, "SOC342"
3103, "ENVS201"
113, "SOCWK399R"
3021, "PHIL215"
2634, "PSCI499B"
4949, "STAT337"
2094, "CS246E"
4895, "SOC499B"
4120, "GSJ221"
4271, "PSYCH238"
3383, "GSJ301"
3202, "CS467"
4125, "SOCWK300R"
2824, "SMF365"
3189, "ECON363"
1583, "CLAS105"
3001, "ENBUS407"
3178, "ENGL225"
1866, "HIST227"
3652, "REES230"
1128, "PHYS363"
1875, "GEOG420"
1720, "SI231R"
1695, "ENVS433"
4145, "HLTH352"
1841, "CIVE499"
144, "SDS250R"
1925, "BET210"
3650, "BET420"
3849, "MUSIC110"
3955, "ECE192"
2135, "BME122"
13, "SYDE552"
1120, "FR373"
260, "PHYS242L"
2044, "CHEM495"
1611, "AFM491"
289, "CS446"
2698, "HIST321"
1310, "KIN455"
593, "REC401"
4751, "ENGL346"
491, "FINE222"
4409, "HLTH304"
3018, "AMATH456"
2965, "GERON201"
1001, "SYDE533"
2480, "PHIL498"
3655, "STAT240"
4743, "ERS100"
2289, "SOC451"
2556, "SPAN387"
1957, "PHIL101"
1751, "SPAN446W"
878, "SOC205"
1886, "SPAN217"
2747, "BLKST399"
3816, "CHEM481"
3226, "PSYCH465"
2524, "CS241E"
752, "FINE216"
2835, "ENGL193"
476, "PDPHRM1"
4653, "MGMT171"
1487, "REC475"
4602, "MNS211"
4737, "PSYCH459"
4542, "HLTH370"
3718, "GERON400"
2752, "ME201"
2945, "INDEV262"
2828, "PACS323"
2302, "EARTH491"
1361, "GSJ101"
219, "STAT436"
3118, "PACS201"
1144, "ME566"
1362, "LS374"
2841, "MSE543"
1055, "REES240"
1097, "PMATH445"
2662, "GEOG490B"
1462, "ECE331"
2983, "CS462"
4592, "AMATH463"
4796, "OPTOM385"
2628, "AE572"
1447, "PDARCH4"
1565, "RS245"
1410, "MATH247"
793, "MEDVL250R"
4636, "CHE100"
1557, "HLTH427"
2764, "CHEM233"
1769, "PHYS242"
3461, "ARCH243"
2761, "LS426"
4437, "AFM429"
1060, "ACTSC362"
1810, "SDS411R"
4708, "ERS320"
4235, "RS283"
2603, "THPERF371"
4979, "MATH115"
4602, "EARTH221"
335, "ACTSC469"
2876, "ERS340"
3321, "BIOL239"
4716, "ECE105"
4349, "ENGL375"
4665, "ECON445"
801, "PSYCH396"
2983, "OPTOM104"
2687, "MSE271"
4147, "JS364"
222, "MATH239"
3763, "MUSIC270"
3545, "REC100"
4405, "GER283"
1402, "RS258"
1523, "COMMST191"
3288, "CS251E"
1977, "PSCI380"
4225, "HLTH471"
452, "HIST312"
1560, "NE320L"
1530, "MUSIC390"
4585, "PMATH465"
4158, "PHARM425"
1654, "JS364"
2054, "PSCI490"
2107, "REC252"
3998, "ENGL100B"
2590, "ARCH520"
1558, "RS220"
2421, "MSE435"
954, "AE104"
3707, "HHUM101"
1118, "SOC200"
1276, "EASIA205R"
1108, "HIST388"
4419, "ERS383"
4863, "SYDE211"
3164, "MEDVL330"
3062, "ECON100"
1620, "PSCI384"
1446, "HHUM101"
4005, "ENVS274"
3381, "CO442"
4109, "GEOG404"
4918, "ENGL208E"
2444, "ERS317"
2794, "PSYCH499A"
3297, "COOP2"
766, "PHIL205"
364, "PHARM130"
1405, "ENBUS314"
3504, "SCI252"
3488, "CIVE413"
3892, "EASIA360R"
903, "ENGL132R"
3933, "ECON382"
385, "RS250"
4461, "LS471"
477, "ENGL375"
1920, "PSCI355"
1024, "PHYS476"
1261, "AVIA307"
4339, "PD1"
911, "CS251"
2554, "NE466"
4415, "COMMST224"
1507, "EASIA302R"
73, "GSJ301"
3454, "LS325"
2641, "CO330"
2991, "CS449"
275, "THPERF387"
1261, "MEDVL330"
1547, "CIVE398"
3699, "FINE261"
1334, "CS451"
1489, "CHE231"
2005, "MUSIC380"
3889, "HIST397"
3702, "PD9"
2821, "ECE405D"
1857, "PSYCH355"
1680, "ME322"
272, "PHARM155"
2724, "ECON306"
4129, "MATH213"
2484, "ARCH248"
4905, "REC419"
896, "HLTH245"
3734, "CHE102"
405, "MTE546"
4716, "HIST231R"
3370, "GENE120"
1008, "ENGL204"
453, "BME186"
4307, "SI241R"
1178, "HIST113"
63, "ECON212"
320, "GSJ371"
1877, "ENGL494"
4125, "PSCI495"
4818, "GEOG392"
1627, "GSJ331"
311, "PHYS437B"
3720, "MUSIC334"
351, "SYDE182"
779, "STAT437"
1956, "MNS431"
2431, "RS499"
3929, "GER120"
2603, "ENGL210E"
361, "PHARM230"
4896, "GSJ472"
4062, "UCR192E"
2566, "GER180"
3293, "ECON406"
2589, "FINE364"
1647, "ME269"
4948, "ENGL211"
335, "HLTH451"
3761, "MSE543"
2038, "KIN100"
3341, "SOC329"
3415, "COMMST475"
3881, "PLAN483"
899, "RS287"
837, "CHE500"
3007, "RS241"
53, "PSYCH486"
2746, "CIVE204"
493, "ITALST360"
3323, "COMMST302"
4413, "HIST221"
708, "HLTH370"
3903, "CS462"
4302, "SMF307"
1816, "GEOG407"
4988, "DAC278"
2415, "PHYS449"
1535, "ECON290"
1728, "GER120"
1873, "ENGL471"
2738, "REC471B"
4338, "MATH127"
4306, "GRK291"
3728, "PSCI351"
4317, "ENGL495B"
1576, "AE105"
1635, "GRK201"
1131, "ECE360"
1268, "KIN232"
491, "MSE211"
2140, "ENGL493"
4360, "GSJ307"
494, "BME544"
4181, "SOCWK320R"
2172, "ANTH465"
2752, "EARTH435"
2979, "KIN140L"
1227, "CIVE205"
54, "AFM401"
4080, "STAT469"
3098, "BIOL456"
2920, "ENVE100"
2463, "ERS221"
4122, "MEDVL260"
319, "SMF350"
4091, "NE241"
1542, "ITAL155"
2920, "FINE257"
4357, "PSYCH451"
4918, "PSYCH355"
1934, "PSCI257"
2703, "PLAN432"
1421, "JS209"
3346, "KIN255L"
3564, "GEOG411"
4056, "PHYS365"
4076, "PLAN414"
3225, "ECON207"
3347, "PHIL450J"
2003, "SFM412"
3329, "PSCI368"
3915, "BME122"
1778, "MSE121"
4691, "HLTH373"
1834, "GENE395"
3179, "MEDVL291"
879, "MTHEL398"
4134, "NE343"
1261, "ENVE376"
3986, "ME100"
183, "FR353"
2570, "MUSIC116"
1610, "PHIL358"
1987, "HIST271"
4218, "ENGL132R"
679, "INDEV300"
3954, "ENGL361"
1976, "HIST315"
1168, "STAT340"
1595, "GER272"
3441, "PLAN476"
2995, "MTHEL298"
302, "STAT241"
1924, "MATH228"
2171, "AFM231"
2720, "PHIL202"
4287, "OPTOM380"
2511, "ENGL381"
2180, "ARTS390"
23, "SCI395"
524, "SYDE181"
4904, "SWREN443R"
4240, "SOCWK421R"
2938, "PLAN443"
94, "ENBUS314"
3962, "SOC498"
4269, "INDEV262"
1869, "ASL202R"
3646, "ENGL322"
4406, "MUSIC227"
4548, "FINE383"
3230, "KIN422"
1324, "BIOL364"
2438, "ENGL481"
3298, "JAPAN102R"
1767, "PHIL498"
2777, "SE464"
1668, "PHIL350"
1537, "ME459"
270, "ITALST112"
4136, "CS116"
3691, "CHEM224L"
351, "SCI395"
2227, "PHIL125"
376, "PLAN480"
290, "GEOE224"
1654, "AFM377"
870, "PHARM372"
1747, "HHUM218"
4193, "NE216"
777, "RS210"
1049, "GENE21E"
1139, "SCI207"
1714, "CS383"
3877, "KIN425"
3699, "RUSS101"
2566, "CHEM363"
1079, "GENE21E"
3691, "BUS231W"
167, "CHEM250L"
3582, "ERS403A"
3332, "SPAN317"
3330, "ENGL208N"
1046, "PSYCH101R"
3301, "BME202"
484, "GEOE224"
1842, "CS136L"
1924, "PMATH441"
79, "PSYCH257R"
2533, "OPTOM272"
2773, "HIST255"
4686, "PSCI491"
1351, "VCULT200"
2520, "CS466"
3710, "CHINA201R"
257, "REC422"
4861, "PSCI257"
3136, "AFM373"
2631, "DAC402"
3767, "MEDVL306"
1676, "GENE399"
216, "HLTH218"
