uid1,uid2
1825, 2334
2334, 1825
130, 4812
4812, 130
2415, 4085
4085, 2415
3693, 4702
4702, 3693
1671, 1867
1867, 1671
1110, 4274
4274, 1110
459, 557
557, 459
2236, 2807
2807, 2236
248, 4659
4659, 248
671, 4762
4762, 671
1080, 3469
3469, 1080
1061, 3227
3227, 1061
3050, 3670
3670, 3050
1841, 3567
3567, 1841
2726, 3731
3731, 2726
4004, 4348
4348, 4004
2544, 2936
2936, 2544
74, 1631
1631, 74
3224, 4358
4358, 3224
2205, 2689
2689, 2205
186, 1283
1283, 186
301, 1795
1795, 301
2439, 4024
4024, 2439
1107, 3356
3356, 1107
1148, 4111
4111, 1148
308, 3905
3905, 308
1971, 2643
2643, 1971
3135, 4666
4666, 3135
1211, 2366
2366, 1211
1362, 2535
2535, 1362
3800, 4302
4302, 3800
2155, 2171
2171, 2155
2108, 4045
4045, 2108
3290, 4954
4954, 3290
1173, 3013
3013, 1173
423, 2515
2515, 423
2006, 3768
3768, 2006
76, 1653
1653, 76
2036, 2829
2829, 2036
1443, 4944
4944, 1443
1933, 4579
4579, 1933
23, 487
487, 23
2386, 4524
4524, 2386
210, 313
313, 210
3342, 3400
3400, 3342
1387, 2541
2541, 1387
348, 1186
1186, 348
518, 3849
3849, 518
724, 3917
3917, 724
2831, 3635
3635, 2831
914, 3260
3260, 914
515, 545
545, 515
1411, 1622
1622, 1411
1682, 2085
2085, 1682
520, 2582
2582, 520
3783, 4432
4432, 3783
82, 2356
2356, 82
1329, 1408
1408, 1329
3644, 4273
4273, 3644
3377, 4683
4683, 3377
1517, 1644
1644, 1517
2012, 4067
4067, 2012
4666, 4900
4900, 4666
36, 1607
1607, 36
1134, 1290
1290, 1134
2785, 4929
4929, 2785
3919, 4858
4858, 3919
3070, 4509
4509, 3070
31, 2552
2552, 31
1529, 1977
1977, 1529
2064, 2513
2513, 2064
1126, 4216
4216, 1126
3366, 4278
4278, 3366
114, 3718
3718, 114
3128, 3174
3174, 3128
3814, 3879
3879, 3814
2828, 4602
4602, 2828
341, 3882
3882, 341
3018, 3945
3945, 3018
1177, 4154
4154, 1177
1520, 4493
4493, 1520
554, 1896
1896, 554
46, 4873
4873, 46
2713, 4248
4248, 2713
3052, 4468
4468, 3052
3736, 4346
4346, 3736
1600, 2163
2163, 1600
1440, 4914
4914, 1440
3636, 4115
4115, 3636
2471, 2621
2621, 2471
102, 3842
3842, 102
4319, 4522
4522, 4319
2008, 2338
2338, 2008
1785, 3986
3986, 1785
489, 1255
1255, 489
2203, 3745
3745, 2203
427, 2097
2097, 427
2443, 4895
4895, 2443
420, 4309
4309, 420
2001, 3237
3237, 2001
2441, 3509
3509, 2441
1628, 3756
3756, 1628
293, 4325
4325, 293
570, 2913
2913, 570
1901, 3356
3356, 1901
1763, 2668
2668, 1763
2628, 4624
4624, 2628
628, 3268
3268, 628
2302, 4639
4639, 2302
40, 65
65, 40
2405, 4737
4737, 2405
1514, 2314
2314, 1514
1708, 3119
3119, 1708
388, 4720
4720, 388
1897, 3772
3772, 1897
4259, 4763
4763, 4259
1974, 3238
3238, 1974
2369, 3767
3767, 2369
262, 3268
3268, 262
897, 1564
1564, 897
4, 4730
4730, 4
1746, 3761
3761, 1746
4141, 4892
4892, 4141
3834, 4183
4183, 3834
3357, 4029
4029, 3357
894, 1451
1451, 894
1405, 2155
2155, 1405
3338, 4918
4918, 3338
129, 830
830, 129
1844, 2202
2202, 1844
2821, 4399
4399, 2821
487, 4675
4675, 487
3904, 4548
4548, 3904
590, 4049
4049, 590
1667, 3444
3444, 1667
330, 712
712, 330
2552, 3578
3578, 2552
923, 1980
1980, 923
348, 1483
1483, 348
304, 3813
3813, 304
3629, 4851
4851, 3629
563, 3515
3515, 563
146, 194
194, 146
774, 1483
1483, 774
4025, 4262
4262, 4025
1735, 2393
2393, 1735
1155, 4558
4558, 1155
3238, 3882
3882, 3238
480, 2699
2699, 480
1619, 2972
2972, 1619
2086, 2623
2623, 2086
78, 3069
3069, 78
4172, 4847
4847, 4172
1622, 4559
4559, 1622
1343, 2700
2700, 1343
954, 1427
1427, 954
1552, 2285
2285, 1552
1533, 2043
2043, 1533
879, 1253
1253, 879
2589, 4533
4533, 2589
422, 785
785, 422
1922, 4447
4447, 1922
2006, 3394
3394, 2006
1393, 4857
4857, 1393
1326, 3635
3635, 1326
3719, 3939
3939, 3719
2884, 4831
4831, 2884
2939, 3949
3949, 2939
547, 4055
4055, 547
367, 2367
2367, 367
2256, 4858
4858, 2256
1220, 2054
2054, 1220
225, 4943
4943, 225
2757, 4093
4093, 2757
4718, 4740
4740, 4718
347, 2839
2839, 347
2045, 4796
4796, 2045
2497, 4139
4139, 2497
45, 4194
4194, 45
129, 4831
4831, 129
1893, 2712
2712, 1893
316, 4657
4657, 316
753, 2968
2968, 753
501, 3656
3656, 501
3119, 4832
4832, 3119
2037, 2060
2060, 2037
2422, 2625
2625, 2422
3721, 4119
4119, 3721
1899, 4570
4570, 1899
2988, 3036
3036, 2988
1950, 2815
2815, 1950
601, 3486
3486, 601
100, 2157
2157, 100
1022, 3893
3893, 1022
1220, 2188
2188, 1220
949, 2856
2856, 949
946, 1804
1804, 946
316, 3852
3852, 316
697, 4483
4483, 697
970, 3329
3329, 970
1954, 2533
2533, 1954
2155, 4509
4509, 2155
1862, 2944
2944, 1862
989, 3544
3544, 989
1219, 1562
1562, 1219
764, 4365
4365, 764
3171, 4567
4567, 3171
454, 941
941, 454
223, 254
254, 223
2103, 3945
3945, 2103
1307, 4011
4011, 1307
2604, 4870
4870, 2604
3798, 4850
4850, 3798
1061, 3955
3955, 1061
22, 2600
2600, 22
1500, 2339
2339, 1500
1988, 3591
3591, 1988
68, 1255
1255, 68
365, 2939
2939, 365
1000, 1235
1235, 1000
790, 1425
1425, 790
2265, 3310
3310, 2265
577, 4515
4515, 577
2542, 2837
2837, 2542
1967, 4592
4592, 1967
415, 2652
2652, 415
1199, 2734
2734, 1199
857, 1307
1307, 857
501, 891
891, 501
4410, 4424
4424, 4410
941, 2883
2883, 941
531, 2985
2985, 531
207, 3827
3827, 207
852, 3565
3565, 852
1502, 4613
4613, 1502
3563, 4178
4178, 3563
2326, 2781
2781, 2326
3016, 4948
4948, 3016
2823, 3587
3587, 2823
1930, 4501
4501, 1930
1147, 3109
3109, 1147
3115, 4927
4927, 3115
1995, 4896
4896, 1995
3163, 3655
3655, 3163
2576, 4649
4649, 2576
654, 3176
3176, 654
790, 4003
4003, 790
2026, 3428
3428, 2026
1511, 3736
3736, 1511
1791, 3561
3561, 1791
600, 846
846, 600
1850, 4141
4141, 1850
4224, 4395
4395, 4224
1250, 3587
3587, 1250
2987, 4718
4718, 2987
266, 3602
3602, 266
1314, 1478
1478, 1314
1456, 3813
3813, 1456
1206, 2884
2884, 1206
1341, 2520
2520, 1341
1616, 4445
4445, 1616
584, 851
851, 584
2330, 3788
3788, 2330
1724, 3978
3978, 1724
3054, 4785
4785, 3054
4317, 4343
4343, 4317
3068, 4841
4841, 3068
1431, 4291
4291, 1431
290, 3383
3383, 290
4185, 4574
4574, 4185
1301, 1966
1966, 1301
965, 2017
2017, 965
2336, 3579
3579, 2336
1318, 4764
4764, 1318
1293, 4707
4707, 1293
2308, 2470
2470, 2308
250, 4896
4896, 250
3247, 4375
4375, 3247
1139, 4240
4240, 1139
2607, 3291
3291, 2607
2285, 3240
3240, 2285
428, 472
472, 428
1511, 3065
3065, 1511
614, 4769
4769, 614
494, 2223
2223, 494
796, 4251
4251, 796
27, 2757
2757, 27
1377, 3250
3250, 1377
1982, 3589
3589, 1982
1218, 2439
2439, 1218
4053, 4781
4781, 4053
130, 2104
2104, 130
2220, 2599
2599, 2220
2267, 4108
4108, 2267
3325, 4981
4981, 3325
224, 2870
2870, 224
970, 3626
3626, 970
1200, 2398
2398, 1200
3665, 4268
4268, 3665
2386, 3426
3426, 2386
1723, 3082
3082, 1723
86, 2532
2532, 86
2806, 3985
3985, 2806
154, 4918
4918, 154
4025, 4961
4961, 4025
1035, 3620
3620, 1035
3677, 4628
4628, 3677
499, 607
607, 499
22, 2897
2897, 22
835, 1465
1465, 835
4301, 4428
4428, 4301
464, 771
771, 464
1260, 4088
4088, 1260
1276, 1588
1588, 1276
1618, 4735
4735, 1618
797, 3051
3051, 797
4141, 4331
4331, 4141
856, 3631
3631, 856
663, 3990
3990, 663
4410, 4721
4721, 4410
3781, 4927
4927, 3781
469, 4124
4124, 469
1986, 3037
3037, 1986
1243, 3518
3518, 1243
1033, 3119
3119, 1033
1513, 4510
4510, 1513
4572, 4675
4675, 4572
1404, 3062
3062, 1404
1774, 3504
3504, 1774
2099, 4792
4792, 2099
824, 1440
1440, 824
1852, 1882
1882, 1852
3593, 4475
4475, 3593
1617, 4459
4459, 1617
1596, 4521
4521, 1596
54, 3077
3077, 54
852, 3057
3057, 852
1463, 4931
4931, 1463
235, 2334
2334, 235
1751, 2365
2365, 1751
2608, 2925
2925, 2608
2052, 4922
4922, 2052
44, 2739
2739, 44
918, 3303
3303, 918
2232, 3577
3577, 2232
26, 3099
3099, 26
962, 4541
4541, 962
3508, 4121
4121, 3508
718, 1148
1148, 718
1752, 3879
3879, 1752
2092, 2227
2227, 2092
1484, 4064
4064, 1484
725, 3258
3258, 725
1434, 1503
1503, 1434
1748, 3356
3356, 1748
1711, 3474
3474, 1711
176, 3201
3201, 176
1807, 3936
3936, 1807
3532, 3552
3552, 3532
1992, 2935
2935, 1992
1907, 2073
2073, 1907
3228, 4080
4080, 3228
3751, 3855
3855, 3751
2050, 3290
3290, 2050
2724, 3234
3234, 2724
3315, 3675
3675, 3315
371, 3268
3268, 371
3163, 3281
3281, 3163
1016, 3972
3972, 1016
1399, 3710
3710, 1399
968, 2211
2211, 968
947, 1334
1334, 947
463, 2453
2453, 463
309, 2925
2925, 309
450, 4850
4850, 450
4531, 4703
4703, 4531
3270, 3501
3501, 3270
1660, 4774
4774, 1660
495, 3280
3280, 495
1857, 2844
2844, 1857
604, 3223
3223, 604
960, 2104
2104, 960
1634, 4492
4492, 1634
252, 2017
2017, 252
3964, 4447
4447, 3964
3003, 4446
4446, 3003
2812, 4878
4878, 2812
1719, 3260
3260, 1719
1762, 3896
3896, 1762
566, 837
837, 566
295, 3757
3757, 295
1681, 3907
3907, 1681
2474, 2789
2789, 2474
1868, 4672
4672, 1868
1969, 2280
2280, 1969
3501, 4699
4699, 3501
3941, 4971
4971, 3941
2107, 3907
3907, 2107
2552, 3769
3769, 2552
2220, 3030
3030, 2220
1808, 4025
4025, 1808
2190, 2629
2629, 2190
2702, 4467
4467, 2702
1236, 3799
3799, 1236
1549, 2044
2044, 1549
1361, 2747
2747, 1361
172, 4831
4831, 172
459, 1663
1663, 459
494, 1849
1849, 494
301, 3706
3706, 301
870, 3826
3826, 870
452, 1623
1623, 452
458, 4821
4821, 458
432, 3600
3600, 432
451, 3650
3650, 451
2328, 3852
3852, 2328
345, 2665
2665, 345
2502, 4190
4190, 2502
4229, 4633
4633, 4229
3501, 3894
3894, 3501
2263, 2861
2861, 2263
1677, 4457
4457, 1677
991, 4129
4129, 991
2189, 4982
4982, 2189
4253, 4818
4818, 4253
2752, 3375
3375, 2752
932, 1455
1455, 932
2834, 4905
4905, 2834
1805, 4992
4992, 1805
3303, 4602
4602, 3303
2103, 4807
4807, 2103
3524, 4012
4012, 3524
2421, 3396
3396, 2421
3202, 3961
3961, 3202
4604, 4644
4644, 4604
539, 571
571, 539
4110, 4486
4486, 4110
848, 1326
1326, 848
180, 638
638, 180
308, 3267
3267, 308
2906, 3976
3976, 2906
1558, 3529
3529, 1558
1475, 3494
3494, 1475
932, 4972
4972, 932
644, 4505
4505, 644
222, 840
840, 222
1579, 4756
4756, 1579
1672, 4947
4947, 1672
1472, 3381
3381, 1472
2960, 4562
4562, 2960
2055, 2241
2241, 2055
1205, 3791
3791, 1205
542, 3447
3447, 542
2505, 4921
4921, 2505
1290, 1620
1620, 1290
944, 983
983, 944
578, 4043
4043, 578
4355, 4424
4424, 4355
1973, 2966
2966, 1973
1530, 2396
2396, 1530
427, 1780
1780, 427
2393, 2771
2771, 2393
884, 1467
1467, 884
753, 2704
2704, 753
2910, 4983
4983, 2910
2958, 3711
3711, 2958
818, 4038
4038, 818
176, 599
599, 176
363, 1364
1364, 363
3260, 4584
4584, 3260
569, 2371
2371, 569
206, 2319
2319, 206
204, 1492
1492, 204
136, 2489
2489, 136
2887, 3255
3255, 2887
1711, 3100
3100, 1711
2099, 4902
4902, 2099
1170, 2187
2187, 1170
4199, 4395
4395, 4199
377, 3490
3490, 377
84, 4177
4177, 84
841, 1904
1904, 841
1763, 3640
3640, 1763
1701, 3701
3701, 1701
4363, 4395
4395, 4363
1351, 4985
4985, 1351
2177, 4569
4569, 2177
575, 3074
3074, 575
3408, 3650
3650, 3408
3378, 4939
4939, 3378
2433, 3219
3219, 2433
3135, 3491
3491, 3135
500, 806
806, 500
352, 2628
2628, 352
1248, 2362
2362, 1248
3224, 3317
3317, 3224
978, 3440
3440, 978
3223, 3846
3846, 3223
2018, 2953
2953, 2018
2112, 2588
2588, 2112
355, 3434
3434, 355
2912, 3580
3580, 2912
940, 3306
3306, 940
1115, 4061
4061, 1115
527, 2763
2763, 527
351, 817
817, 351
420, 422
422, 420
1310, 3374
3374, 1310
1781, 2959
2959, 1781
608, 823
823, 608
706, 1166
1166, 706
998, 4950
4950, 998
3591, 4376
4376, 3591
2789, 2934
2934, 2789
881, 1921
1921, 881
3687, 4838
4838, 3687
2792, 4925
4925, 2792
1699, 2553
2553, 1699
1869, 2964
2964, 1869
1165, 2619
2619, 1165
1441, 3426
3426, 1441
2011, 2266
2266, 2011
1737, 3195
3195, 1737
87, 720
720, 87
737, 1768
1768, 737
221, 4103
4103, 221
1656, 4145
4145, 1656
260, 2718
2718, 260
4167, 4670
4670, 4167
557, 4402
4402, 557
3101, 4875
4875, 3101
1335, 2225
2225, 1335
2749, 4423
4423, 2749
2764, 3011
3011, 2764
1426, 4972
4972, 1426
63, 2712
2712, 63
2465, 2570
2570, 2465
895, 3242
3242, 895
2010, 2929
2929, 2010
3642, 4798
4798, 3642
1916, 4957
4957, 1916
1971, 4664
4664, 1971
3089, 4999
4999, 3089
1487, 3504
3504, 1487
519, 1800
1800, 519
708, 4705
4705, 708
1081, 3001
3001, 1081
1987, 2514
2514, 1987
96, 162
162, 96
1598, 2180
2180, 1598
3566, 3998
3998, 3566
2594, 3865
3865, 2594
611, 2678
2678, 611
4282, 4353
4353, 4282
1038, 3654
3654, 1038
1446, 2725
2725, 1446
2, 2570
2570, 2
1265, 3818
3818, 1265
298, 4783
4783, 298
1676, 1847
1847, 1676
870, 2915
2915, 870
2074, 4337
4337, 2074
1406, 3649
3649, 1406
466, 2273
2273, 466
2258, 3111
3111, 2258
1915, 3711
3711, 1915
4745, 4770
4770, 4745
2527, 4440
4440, 2527
1711, 4820
4820, 1711
1618, 2377
2377, 1618
71, 589
589, 71
1177, 4886
4886, 1177
377, 1827
1827, 377
483, 2977
2977, 483
4399, 4483
4483, 4399
3543, 4498
4498, 3543
1669, 2315
2315, 1669
3425, 3496
3496, 3425
369, 4568
4568, 369
692, 3501
3501, 692
213, 3274
3274, 213
1006, 2910
2910, 1006
174, 313
313, 174
153, 4162
4162, 153
131, 3060
3060, 131
2824, 3656
3656, 2824
1659, 2162
2162, 1659
535, 3675
3675, 535
2553, 2604
2604, 2553
159, 4327
4327, 159
541, 2177
2177, 541
2516, 2722
2722, 2516
991, 4857
4857, 991
1955, 3594
3594, 1955
1301, 2804
2804, 1301
4004, 4088
4088, 4004
981, 3388
3388, 981
2084, 4004
4004, 2084
282, 1135
1135, 282
2759, 3769
3769, 2759
548, 2193
2193, 548
1663, 1880
1880, 1663
931, 1931
1931, 931
2155, 4005
4005, 2155
1472, 4914
4914, 1472
1196, 3518
3518, 1196
296, 1541
1541, 296
1150, 2769
2769, 1150
1938, 4313
4313, 1938
1316, 2280
2280, 1316
4269, 4870
4870, 4269
1920, 2394
2394, 1920
220, 1680
1680, 220
345, 628
628, 345
312, 4652
4652, 312
1785, 4047
4047, 1785
608, 3482
3482, 608
597, 849
849, 597
1177, 3410
3410, 1177
1594, 3698
3698, 1594
1657, 1768
1768, 1657
3972, 4633
4633, 3972
3664, 4480
4480, 3664
240, 2682
2682, 240
3056, 3843
3843, 3056
280, 3020
3020, 280
509, 628
628, 509
1453, 2123
2123, 1453
2442, 3391
3391, 2442
871, 1209
1209, 871
774, 1276
1276, 774
285, 2051
2051, 285
1348, 1548
1548, 1348
792, 3545
3545, 792
763, 2615
2615, 763
1513, 1615
1615, 1513
2930, 3330
3330, 2930
2886, 4721
4721, 2886
3918, 4373
4373, 3918
1715, 3412
3412, 1715
2884, 3335
3335, 2884
778, 3273
3273, 778
817, 3201
3201, 817
3515, 4141
4141, 3515
60, 778
778, 60
383, 465
465, 383
3327, 4844
4844, 3327
1314, 4946
4946, 1314
216, 4674
4674, 216
3662, 3787
3787, 3662
2619, 3976
3976, 2619
3763, 4593
4593, 3763
2032, 4408
4408, 2032
2939, 4331
4331, 2939
377, 4218
4218, 377
437, 4269
4269, 437
609, 1343
1343, 609
3410, 3916
3916, 3410
3166, 4495
4495, 3166
1673, 2381
2381, 1673
140, 491
491, 140
1084, 2740
2740, 1084
430, 4202
4202, 430
703, 3048
3048, 703
2036, 4126
4126, 2036
3178, 3916
3916, 3178
862, 4798
4798, 862
918, 4141
4141, 918
2129, 3536
3536, 2129
2705, 4635
4635, 2705
76, 856
856, 76
1058, 3397
3397, 1058
2983, 3825
3825, 2983
1406, 4080
4080, 1406
1562, 3839
3839, 1562
365, 1898
1898, 365
641, 3459
3459, 641
773, 2632
2632, 773
1148, 2509
2509, 1148
625, 4454
4454, 625
659, 3284
3284, 659
1202, 1991
1991, 1202
947, 3916
3916, 947
185, 1149
1149, 185
431, 4588
4588, 431
2140, 3671
3671, 2140
1051, 3515
3515, 1051
2896, 4179
4179, 2896
1893, 4733
4733, 1893
1402, 1463
1463, 1402
2410, 4471
4471, 2410
1113, 4743
4743, 1113
657, 1494
1494, 657
1345, 1868
1868, 1345
2711, 3086
3086, 2711
1558, 2915
2915, 1558
1644, 1935
1935, 1644
1280, 4102
4102, 1280
590, 3655
3655, 590
388, 4460
4460, 388
1618, 4097
4097, 1618
835, 2705
2705, 835
1675, 3850
3850, 1675
1239, 2007
2007, 1239
3305, 4360
4360, 3305
2899, 3672
3672, 2899
402, 2264
2264, 402
1083, 4877
4877, 1083
4039, 4355
4355, 4039
625, 3999
3999, 625
1224, 2638
2638, 1224
129, 3603
3603, 129
430, 3531
3531, 430
1939, 2583
2583, 1939
1686, 4389
4389, 1686
966, 2198
2198, 966
1554, 4620
4620, 1554
1985, 4806
4806, 1985
422, 2485
2485, 422
2941, 3682
3682, 2941
996, 4477
4477, 996
581, 4235
4235, 581
610, 3475
3475, 610
2234, 4729
4729, 2234
3785, 4946
4946, 3785
764, 4292
4292, 764
1146, 2142
2142, 1146
3248, 3960
3960, 3248
1123, 4410
4410, 1123
2788, 3975
3975, 2788
3620, 3724
3724, 3620
681, 3661
3661, 681
1248, 1264
1264, 1248
442, 3086
3086, 442
581, 3430
3430, 581
753, 4668
4668, 753
1388, 2964
2964, 1388
466, 4611
4611, 466
77, 2584
2584, 77
3734, 4361
4361, 3734
2373, 3709
3709, 2373
2684, 4510
4510, 2684
2108, 4350
4350, 2108
1635, 1686
1686, 1635
295, 3574
3574, 295
2008, 4119
4119, 2008
437, 1183
1183, 437
2403, 4648
4648, 2403
302, 4930
4930, 302
1186, 2964
2964, 1186
919, 2620
2620, 919
129, 4221
4221, 129
3843, 4280
4280, 3843
2567, 3709
3709, 2567
3007, 3981
3981, 3007
82, 3816
3816, 82
2631, 4633
4633, 2631
437, 2472
2472, 437
3976, 4782
4782, 3976
1001, 2810
2810, 1001
2168, 3596
3596, 2168
56, 4473
4473, 56
159, 1188
1188, 159
1289, 3627
3627, 1289
2003, 2970
2970, 2003
4062, 4152
4152, 4062
3206, 4167
4167, 3206
4173, 4922
4922, 4173
2056, 2981
2981, 2056
1319, 2688
2688, 1319
773, 2929
2929, 773
431, 1502
1502, 431
1645, 2858
2858, 1645
277, 1035
1035, 277
2736, 3090
3090, 2736
3476, 3654
3654, 3476
984, 4280
4280, 984
991, 3007
3007, 991
2959, 4825
4825, 2959
758, 2247
2247, 758
1599, 2863
2863, 1599
1230, 2242
2242, 1230
827, 1071
1071, 827
2048, 3628
3628, 2048
2433, 3439
3439, 2433
3141, 4465
4465, 3141
2372, 2971
2971, 2372
1422, 3351
3351, 1422
575, 1200
1200, 575
3644, 3773
3773, 3644
3745, 4579
4579, 3745
2103, 3685
3685, 2103
1645, 2053
2053, 1645
4162, 4867
4867, 4162
684, 4526
4526, 684
3091, 4728
4728, 3091
3598, 3778
3778, 3598
535, 1959
1959, 535
4166, 4235
4235, 4166
2400, 3275
3275, 2400
2073, 2880
2880, 2073
4261, 4472
4472, 4261
653, 867
867, 653
2327, 4867
4867, 2327
2303, 4281
4281, 2303
1840, 3059
3059, 1840
3049, 4071
4071, 3049
2115, 4984
4984, 2115
638, 1683
1683, 638
1721, 2586
2586, 1721
3040, 3204
3204, 3040
478, 1401
1401, 478
1806, 3825
3825, 1806
2611, 3471
3471, 2611
1087, 2798
2798, 1087
1565, 3362
3362, 1565
2473, 2948
2948, 2473
1777, 4184
4184, 1777
636, 3276
3276, 636
751, 3788
3788, 751
3870, 4950
4950, 3870
334, 467
467, 334
162, 4332
4332, 162
2049, 2778
2778, 2049
177, 1422
1422, 177
746, 3794
3794, 746
1895, 2311
2311, 1895
1900, 2655
2655, 1900
558, 2053
2053, 558
501, 765
765, 501
3047, 4509
4509, 3047
1942, 4759
4759, 1942
899, 2696
2696, 899
3383, 4616
4616, 3383
1412, 4944
4944, 1412
1331, 1572
1572, 1331
1375, 2810
2810, 1375
3057, 4796
4796, 3057
2293, 3646
3646, 2293
4614, 4828
4828, 4614
679, 4800
4800, 679
1150, 3631
3631, 1150
3142, 4345
4345, 3142
2651, 4293
4293, 2651
727, 2747
2747, 727
772, 1177
1177, 772
792, 1829
1829, 792
2204, 3200
3200, 2204
1808, 3200
3200, 1808
3006, 4992
4992, 3006
594, 2194
2194, 594
1309, 4391
4391, 1309
1426, 4976
4976, 1426
2780, 2959
2959, 2780
1047, 4391
4391, 1047
2356, 2631
2631, 2356
2082, 3560
3560, 2082
4403, 4742
4742, 4403
547, 843
843, 547
1355, 3231
3231, 1355
310, 341
341, 310
3164, 4238
4238, 3164
1746, 4550
4550, 1746
1851, 3812
3812, 1851
957, 1091
1091, 957
96, 4704
4704, 96
3460, 4007
4007, 3460
2052, 2755
2755, 2052
2802, 4007
4007, 2802
2265, 3802
3802, 2265
3423, 4125
4125, 3423
2621, 3437
3437, 2621
1150, 1671
1671, 1150
943, 4576
4576, 943
2137, 4556
4556, 2137
2013, 2800
2800, 2013
905, 1840
1840, 905
1703, 1820
1820, 1703
1451, 4982
4982, 1451
919, 957
957, 919
2842, 3032
3032, 2842
1071, 1728
1728, 1071
1083, 4182
4182, 1083
2494, 2699
2699, 2494
221, 2497
2497, 221
267, 1152
1152, 267
1117, 1322
1322, 1117
769, 2302
2302, 769
795, 1271
1271, 795
2574, 4156
4156, 2574
4005, 4049
